lat_round,lon_round,count
41.753,-87.655,1
41.753,-87.653,1
41.753,-87.651,1
41.753,-87.648,1
41.753,-87.644,1
41.753,-87.637,1
41.753,-87.625,1
41.753,-87.619,1
41.753,-87.609,1
41.753,-87.605,1
41.753,-87.582,1
41.753,-87.58,1
41.753,-87.578,2
41.753,-87.576,3
41.753,-87.575,1
41.753,-87.574,1
41.753,-87.572,1
41.753,-87.566,2
41.753,-87.565,2
41.753,-87.564,1
41.753,-87.56,2
41.753,-87.558,1
41.753,-87.557,1
41.753,-87.556,1
41.753,-87.554,1
41.753,-87.553,1
41.753,-87.55,1
41.754,-87.717,1
41.754,-87.694,1
41.754,-87.667,1
41.754,-87.661,1
41.754,-87.654,1
41.754,-87.653,1
41.754,-87.651,1
41.754,-87.648,2
41.754,-87.647,1
41.754,-87.645,1
41.754,-87.644,1
41.754,-87.643,1
41.754,-87.642,4
41.754,-87.641,1
41.754,-87.633,1
41.754,-87.626,1
41.754,-87.615,1
41.754,-87.613,1
41.754,-87.604,1
41.754,-87.594,1
41.754,-87.582,1
41.754,-87.574,1
41.754,-87.569,1
41.754,-87.566,1
41.754,-87.565,1
41.754,-87.559,2
41.754,-87.555,1
41.754,-87.554,1
41.754,-87.55,1
41.755,-87.742,8
41.755,-87.725,1
41.755,-87.722,1
41.755,-87.715,1
41.755,-87.673,1
41.755,-87.667,1
41.755,-87.665,1
41.755,-87.664,3
41.755,-87.662,1
41.755,-87.66,1
41.755,-87.655,1
41.755,-87.654,1
41.755,-87.653,1
41.755,-87.649,1
41.755,-87.643,2
41.755,-87.582,1
41.755,-87.576,3
41.755,-87.565,2
41.755,-87.563,4
41.755,-87.562,1
41.755,-87.557,2
41.755,-87.553,1
41.755,-87.551,1
41.756,-87.719,1
41.756,-87.676,1
41.756,-87.675,1
41.756,-87.657,1
41.756,-87.655,1
41.756,-87.654,2
41.756,-87.649,1
41.756,-87.647,3
41.756,-87.645,3
41.756,-87.644,3
41.756,-87.643,2
41.756,-87.633,1
41.756,-87.626,1
41.756,-87.625,3
41.756,-87.624,2
41.756,-87.623,1
41.756,-87.617,1
41.756,-87.614,1
41.756,-87.609,1
41.756,-87.608,1
41.756,-87.605,2
41.756,-87.603,1
41.756,-87.599,1
